PR番号,タイトル,作成者,作成日,ステータス,政策分野（新ラベル）,旧ラベル,分類理由,分析メモ,URL,説明（200文字まで）
5892,マニフェストに「議員の定年制導入」に関する項目を追加,app/idobata-policy-app,2025-07-12T16:42:27Z,OPEN,行政改革,README,議員定年制導入による政治改革と世代交代促進,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5892,マニフェストに「議員の定年制導入」に関する項目を追加
5887,「表現の自由」に関する方針を追加,app/idobata-policy-app,2025-07-12T16:38:17Z,OPEN,ビジョン,README,表現の自由に関する基本方針の追加,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5887,「表現の自由」に関する方針を追加
5882,匿名ユーザーによる提案：現場負担への配慮とAI時代の人材活用策の追加,app/idobata-policy-app,2025-07-12T16:18:26Z,OPEN,産業政策,README,AI時代の人材活用と現場負担への配慮,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5882,匿名ユーザーによる提案：現場負担への配慮とAI時代の人材活用策の追加
5881,はるさんによるマニフェスト改善提案,app/idobata-policy-app,2025-07-12T16:12:48Z,OPEN,['システム'],README,マニフェストの改善提案（一般的な内容）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5881,はるさんによるマニフェスト改善提案
5874,なちさんより：マニフェストの信頼性向上のための3つの提案,app/idobata-policy-app,2025-07-12T15:37:01Z,OPEN,デジタル民主主義,README,マニフェストの信頼性向上のための3つの提案,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5874,なちさんより：マニフェストの信頼性向上のための3つの提案
5873,「世代による一票の価値の違い」に関する議論の提起,app/idobata-policy-app,2025-07-12T15:34:38Z,OPEN,デジタル民主主義,README,世代による一票の価値の違いに関する議論,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5873,「世代による一票の価値の違い」に関する議論の提起
5869,選挙運動のデジタル化と静穏化に関する提案,app/idobata-policy-app,2025-07-12T15:26:18Z,OPEN,デジタル民主主義,README,選挙運動のデジタル化と静穏化,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5869,選挙運動のデジタル化と静穏化に関する提案
5868,冒頭文を修正し、マニフェストが目指す方向性をより明確化,app/idobata-policy-app,2025-07-12T15:25:29Z,OPEN,['システム'],README,マニフェスト冒頭文の修正,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5868,冒頭文を修正し、マニフェストが目指す方向性をより明確化
5858,keiphotoさんによる提案：結婚の有無にかかわらず子どもを産み育てやすい社会の実現,app/idobata-policy-app,2025-07-12T15:01:36Z,OPEN,子育て,README,結婚の有無にかかわらず子どもを産み育てやすい社会,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5858,keiphotoさんによる提案：結婚の有無にかかわらず子どもを産み育てやすい社会の実現
5846,【.34さん提案】災害時の非常用通信ネットワーク構築について,app/idobata-policy-app,2025-07-12T14:36:11Z,OPEN,その他政策,README,災害時の非常用通信ネットワーク構築（防災・通信）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5846,【.34さん提案】災害時の非常用通信ネットワーク構築について
5840,ひらりさんからの提案：選択的夫婦別姓の実現,app/idobata-policy-app,2025-07-12T14:19:55Z,OPEN,その他政策,README,食料自給率向上（農業・食料安全保障）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5840,ひらりさんからの提案：選択的夫婦別姓の実現
5839,選択的夫婦別姓制度の実現に関する項目を追加,app/idobata-policy-app,2025-07-12T14:16:58Z,OPEN,ビジョン,README,マニフェストの100日計画明確化,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5839,選択的夫婦別姓制度の実現に関する項目を追加
5834,外交政策の項目を見直し、日本の自律性強化に関する議論を提案,app/idobata-policy-app,2025-07-12T14:07:34Z,OPEN,ビジョン,README,「公正で豊かな社会」という基本理念,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5834,外交政策の項目を見直し、日本の自律性強化に関する議論を提案
5833,国の主権と国益を守る姿勢の明確化,app/idobata-policy-app,2025-07-12T14:06:49Z,OPEN,経済財政,README,ベーシックインカムの導入検討,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5833,国の主権と国益を守る姿勢の明確化
5832,性犯罪対策の抜本的強化,app/idobata-policy-app,2025-07-12T14:06:40Z,OPEN,デジタル民主主義,README,政治に関する文書の無償公開,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5832,性犯罪対策の抜本的強化
5830,匿名ユーザーからの提案：認定柔道整復師による予防医療の推進,app/idobata-policy-app,2025-07-12T14:01:12Z,OPEN,その他政策,README,司法制度改革（裁判官の国民審査）,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5830,匿名ユーザーからの提案：認定柔道整復師による予防医療の推進
5644,尊厳死の制度化に関する議論の開始,app/idobata-policy-app,2025-07-12T03:04:59Z,OPEN,産業政策,README,起業支援とスタートアップ育成,自動分類: 2025-07-14,https://github.com/team-mirai/policy/pull/5644,尊厳死の制度化に関する議論の開始
